respond;отвечать
require;требовать
request;просить, запрашивать 
resume;получить (обратно), возобновить
retrieve;вернуть, восстановить
resolve;решать, распадаться
deprecate;возражать, выступать против
fetch;принести, выручать, сходить (за кем-то)
reject;отклонять, отвергать, браковать
allow;позволять, допускать, предоставлять
achieve;достигать, выполнять
become;становиться
refer;направлять, ссылаться
tangle;запутывать
cause;вызывать, причинять, заставлять
prefer;предполагать
consume;потреблять, расходовать
stipulate;обуславливать, ставить, условие
advise;советовать, уведомлять
relate;иметь отношение, рассказывать
suppose;предполагать, считать
supposed to do;должен сделать
provide;запасать, снабжать, обеспечивать
persist;упорствовать, сохраняться
inherit;наследовать
put;положить, поместить, бросить
perform;выполнять, совершать
extend;тянуть, продлевать, расширять
render;представлять, превращать, делать
expect;ожидать, предполагать
receive;получать, принимать
reason;рассуждать, убеждать
shift;изменять, передвигать
hope;надеяться
ease;облегчать, отдыхать, успокаивать
issue;выходить, выпускать (книги)
